,province
0,Aceh
1,Bali
2,Bangka-Belitung
3,Banten
4,Bengkulu
5,Gorontalo
6,Irian Jaya Barat
7,Jakarta Raya
8,Jambi
9,Jawa Barat
10,Jawa Tengah
11,Jawa Timur
12,Kalimantan Barat
13,Kalimantan Selatan
14,Kalimantan Tengah
15,Kalimantan Timur
16,Kalimantan Utara
17,Kepulauan Riau
18,Lampung
19,Maluku Utara
20,Maluku
21,
22,Nusa Tenggara Timur
23,Papua
24,Riau
25,Sulawesi Barat
26,Sulawesi Selatan
27,Sulawesi Tengah
28,Sulawesi Tenggara
29,Sulawesi Utara
30,Sumatera Barat
31,Sumatera Selatan
32,Sumatera Utara
33,Yogyakarta
